disease,symptom
Achalasia,"['Burning pain in chest or upper abdomen', 'Difficult or painful swallowing', 'Food sticks on swallowing']"
Acid reflux,"['Abdominal pain after eating', 'Burning pain in chest or upper abdomen', 'Chest tightness', 'Upper abdominal pain']"
Acoustic neuroma,"['Hearing loss in one ear', 'Noises in ear', 'Sensation of room spinning']"
Acute cholecystitis,"['Abdominal pain spreading to shoulder blade', 'Abdominal pain worse on coughing', 'Right sided abdominal pain', 'Upper abdominal pain']"
Acute exacerbation of COPD,"['Cough which produces mucus', 'Fast or shallow breathing', 'Shortness of breath', 'Wheeze (noise on breathing out)']"
Acute heart failure,"['Cough which produces mucus', 'Fast or shallow breathing', 'Swollen feet or ankles']"
Acute myeloid leukaemia,['Excessive sweating at night']
Alcohol poisoning,"['Confusion which is new', 'Difficulty speaking', 'Feel unbalanced', 'Slurred speech', 'Vomiting']"
Alcoholic liver disease,"['Diarrhoea', 'Feeling sick or nausea', 'Loss of appetite']"
Allergic rhinitis,"['Blocked nose', 'Excessive sneezing', 'Itchy eyes', 'Runny nose', 'Watery eyes']"
Alzheimer's disease,"['Confused or muddled', 'Memory loss']"
Anal Cancer,"['Anal lump', 'Blood in stool or poo', 'Pain when passing stools']"
Anal fistula,"['Blood in stool or poo', 'Itchy anus', 'Pain when passing stools']"
Anal ulcer or blister,"['Blood in stool or poo', 'Pain when passing stools']"
Aneurysm,"['Confused or muddled', 'Confusion which is new', 'Headache that came on suddenly', 'Neck stiffness', 'Numbness or  tingling on one side of body', 'Severe headache', 'Weakness of one side of the body']"
Angina pectoris,['Chest pain on physical effort']
Angioedema,"['Swelling of the face', 'Swollen feet or ankles', 'Swollen lip']"
Ankylosing spondylitis,"['Back stiffness', 'Buttock pain', 'Lower back pain', 'Pain at base of spine', 'Pain in more than one joint']"
Anorexia,"['Hair loss or thinning', 'Intentional weight loss', 'Irregular or infrequent periods', 'Lightheaded or feeling dizzy', 'Missing periods', 'Obsessed with weight or appearance']"
Anxiety,"['Anxiety', 'Feeling heart beat', 'Feeling irritable', 'Feeling sick or nausea', 'Unusually tired']"
Anxiety disorder of childhood,['Feeling irritable']
Appendicitis,"['Abdominal pain worse on coughing', 'Lower abdominal pain', 'Right sided abdominal pain']"
Asthma,"['Chest tightness', 'Cough', 'Shortness of breath', 'Wheeze (noise on breathing out)']"
Asthma Attack,"['Chest tightness', 'Fast or shallow breathing', 'Unable to talk in full sentences', 'Wheeze (noise on breathing out)']"
Athlete's Foot,"['Itchy rash', 'Rash on foot']"
Back pain,"['Back pain', 'Back stiffness', 'Lower back pain']"
Bacterial arthritis,"['Affected joint feels warm', 'Pain in one joint', 'Single joint stiffness', 'Single swollen joint']"
Bacterial vaginosis,['Unusual vaginal discharge']
Bakers cyst,['Swollen knee']
Bell's palsy,['Drooping of the face']
Bile duct Cancer,"['Right sided abdominal pain', 'Upper abdominal pain', 'Yellow skin or eyes']"
Bladder Cancer,"['Continuous, unexplained weight loss', 'Difficulty passing urine', 'Pain when passing urine', 'Painless blood in urine', 'Passing more urine than usual', 'Urgent desire to pass urine']"
Bowel Cancer,"['Abdominal pain', 'Blood in stool or poo', 'Change in bowel habit', 'Diarrhoea']"
Brain Cancer,"['Headache getting worse over time', 'Headache on waking up', 'Severe headache', 'Vomiting']"
Breast Cancer,"['Continuous, unexplained weight loss', 'Lump in breast']"
Breast abscess,"['Breast pain', 'Lump in breast', 'Redness of the breast']"
