disease_name,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
Aarskog syndrome,Belly button that sticks out,Bulge in groin or scrotum,Delayed sexual maturity,Delayed teeth,Downward palpebral slant to eyespalpebral slant is direction of slant from outer to inner corner of eye,Hairline withwidows peak,Mildly sunken chest,Mild to moderate mental problems,Mild to moderate short height which may not be obvious until child is 1 to 3 years old,Poorly developed middle section of face,Rounded face,Scrotum surrounds penis shawl scrotum,Short fingers and toes with mild webbing,Single crease in palm of hand,Small broad hands and feet with short fingers and curvedin fifth finger,Small nose with nostrils tipped forward,Testicles that have not come down undescended,Top portion of ear folded over slightly,Wide groove above upper lip crease below lower lip,Wideset eyes with droopy eyelids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aase syndrome,Absent or small knuckles,Cleft palate,Decreased skin creases at finger joints,Deformed ears,Droopy eyelids,Inability to fully extend joints from birth contracture deformity,Narrow shoulders,Pale skin,Triplejointed thumbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdominal aortic aneurysm,Pain in abdomen or back,The pain may be severe sudden persistent or constant,It may spread to groin buttocks or legs,Passing out,Clammy skin,Dizziness,Nausea and vomiting,Rapid heart rate,Shock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abnormal uterine bleeding,Bleeding or spotting from vagina between periods,Periods that occur less than 28 days apart more common or more than 35 days apart,Time between periods changes each month,Heavier bleeding such as passing large clots needing to change protection during night soaking throughsanitary pad or tampon every hour for 2 to 3 hours inrow,Bleeding that lasts for more days than normal or for more than 7 days,Excessive growth of body hair inmale pattern hirsutism,Hot flashes,Mood swings,Tenderness and dryness of vagina,A woman may feel tired or fatigued if she loses too much blood over time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABO incompatibility,Low back pain,Blood in urine,Chills,Feeling of impending doom,Fever,Nausea and vomiting,Shortness of breath,Increased heart rate,Pain at infusion site,Chest pain,Dizziness,Bronchospasm spasm of muscles lining lung causes cough,Yellow skin and whites of eyes jaundice,Acute kidney failure,Low blood pressure,Disseminated intravascular coagulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abscess - abdomen or pelvis,May be found only in one area of your belly or over most of your belly,May be sharp or dull,May become worse over time,Depending on where abscess is located you may have,Pain in your back,Pain in your chest or shoulder,Swollen belly,Diarrhea,Fever or chills,Lack of appetite and possible weight loss,Nausea or vomiting,Weakness,Cough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absence seizure,Occur many timesday,Occur for weeks to months before being noticed,Interfere with school and learning,Be mistaken for lack of attention daydreaming or other misbehavior,Unexplained difficulties in school and learning difficulties may be first sign of absence seizures,During seizure person may stop walking and start againfew seconds later,Stop talking in mid sentence and start againfew seconds later,The person usually does not fall during seizure,"Right after seizure person is usually wide awake,thinking clearly,unaware of seizure",Changes in muscle activity such as no movement hand fumbling fluttering eyelids lip smacking chewing,Changes in alertness consciousness such as staring episodes lack of awareness of surroundings sudden halt in movement talking and other awake activities,Some absence seizures begin slower and last longerse are called atypical ansence seizures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absent menstrual periods - primary,A female with amenorrhea will have no menstrual flow,She may haveother signs of puberty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absent menstrual periods - secondary,Breast size changes,Weight gain or weight loss,Discharge from breast or change in breast size,Acne and increased hair growth inmale pattern,Vaginal dryness,Voice changes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absent pulmonary valve,Blue coloring to skin cyanosis,Coughing,Failure to thrive,Poor appetite,Rapid breathing,Respiratory failure,Wheezing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthosis nigricans,Eventually dark velvety skin with very visible markings and creases appears in armpits groin and neck folds and over joints of fingers and toes,Sometimes lips palms soles of feet or other areas are affected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetaminophen and codeine overdose,Shallow breathing,Slow and labored breathing,Stopped breathing,Very small pupils,Low blood pressure,Coma lack of responsiveness,Convulsions,Drowsiness,Stupor lack of alertness,Bluish skin fingernails and lips,Cold clammy skin,Heavy sweating,Nausea and vomiting,Spasms of stomach and intestines,Liver failure,Kidney failure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
